Date,Units,NAV,Amount,fundcode,fundname
17-05-2022,25.752,97.08,2500.0,118834,Mirae Asset Large & Midcap Fund
16-06-2022,27.112,92.21,2500.0,118834,Mirae Asset Large & Midcap Fund
15-07-2022,25.581,97.73,2500.0,118834,Mirae Asset Large & Midcap Fund
18-08-2022,23.307,107.26,2500.0,118834,Mirae Asset Large & Midcap Fund
15-09-2022,23.166,107.91,2500.0,118834,Mirae Asset Large & Midcap Fund
17-10-2022,24.306,102.85,2500.0,118834,Mirae Asset Large & Midcap Fund
15-11-2022,23.272,107.42,2500.0,118834,Mirae Asset Large & Midcap Fund
15-12-2022,23.0,108.69,2500.0,118834,Mirae Asset Large & Midcap Fund
16-01-2023,23.59,105.97,2500.0,118834,Mirae Asset Large & Midcap Fund
15-02-2023,23.904,104.58,2500.0,118834,Mirae Asset Large & Midcap Fund
15-03-2023,24.847,100.61,2500.0,118834,Mirae Asset Large & Midcap Fund
18-04-2023,24.009,104.12,2500.0,118834,Mirae Asset Large & Midcap Fund
16-05-2023,23.104,108.2,2500.0,118834,Mirae Asset Large & Midcap Fund
16-06-2023,22.177,112.72,2500.0,118834,Mirae Asset Large & Midcap Fund
18-07-2023,21.161,118.14,2500.0,118834,Mirae Asset Large & Midcap Fund
17-08-2023,20.813,120.11,2500.0,118834,Mirae Asset Large & Midcap Fund
15-09-2023,19.596,127.57,2500.0,118834,Mirae Asset Large & Midcap Fund
17-10-2023,19.821,126.12,2500.0,118834,Mirae Asset Large & Midcap Fund
15-11-2023,19.886,125.71,2500.0,118834,Mirae Asset Large & Midcap Fund
01-12-2023,76.605,130.53,10000.0,118834,Mirae Asset Large & Midcap Fund
01-01-2024,71.826,139.22,10000.0,118834,Mirae Asset Large & Midcap Fund
01-02-2024,70.487,141.86,10000.0,118834,Mirae Asset Large & Midcap Fund
01-03-2024,68.805,145.33,10000.0,118834,Mirae Asset Large & Midcap Fund
18-03-2024,17.843,140.1,2500.0,118834,Mirae Asset Large & Midcap Fund
02-04-2024,68.489,146.0,10000.0,118834,Mirae Asset Large & Midcap Fund
16-04-2024,17.121,146.01,2500.0,118834,Mirae Asset Large & Midcap Fund
02-05-2024,66.784,149.73,10000.0,118834,Mirae Asset Large & Midcap Fund
15-05-2024,16.801,148.8,2500.0,118834,Mirae Asset Large & Midcap Fund
03-06-2024,64.423,155.22,10000.0,118834,Mirae Asset Large & Midcap Fund
19-06-2024,15.687,159.36,2500.0,118834,Mirae Asset Large & Midcap Fund
01-07-2024,61.277,163.19,10000.0,118834,Mirae Asset Large & Midcap Fund
